["Name":" Bowen", "Time":" 10:20am", "Location": "Main conference room", "Scenario": "Meeting Arrangement"]
["Name": "Amelia ", "Time": "11:00 AM on Tuesday", "Location": " Room 204", "Scenario": "Personal annual physical check-up"]
["Name": "Ethan", "Time": "2:30 PM on Wednesday", "Location": " Office 15B ", "Scenario": " Financial advisory session "]
["Name": " Sophia ", "Time": "6:00 AM ", "Location": " Seat 12A on Flight BA123 ", "Scenario": " Flight Arrangement"]
["Name": " Jackson ", "Time": "4:15 PM", "Location": " West Conference Room ", "Scenario": " Client meeting Arrangement "]
["Name": " Olivia ", "Time": "10:45 AM ", "Location": " Lecture Hall C ", "Scenario": " University workshop Arrangement "]
["Name": " Noah ", "Time": "3:00 PM ", "Location": " Stage 2 ", "Scenario": " Product launch event arrangement"]
["Name": " Ava ", "Time": " 1:30 PM ", "Location": " Courtroom 5 ", "Scenario": " Legal proceeding arrangement"]
["Name": " Liam ", "Time": " 9:00 AM ", "Location": " Entrance booth ", "Scenario": " Charity event Arrangement"]
["Name": " Mia ", "Time": " 5:00 PM ", "Location": " Gallery Room ", "Scenario": " Photography competition "]
["Name": " Elijah ", "Time": " 7:30 PM ", "Location": " Court 3 ", "Scenario": " Sports tournament "]
